PR_Number,Author,Score,Dead_Code_Count,Logic_Clones,Zombie_Syms,Zombie_Deps,Antipatterns,Comment_Violations,Timestamp
497329,fabaff,70,0,0,0,,,,2026-03-06T19:50:55Z
497328,app/nixpkgs-ci,70,0,0,0,,,,2026-03-06T19:50:56Z
497327,ZZBaron,70,0,0,0,,,,2026-03-06T19:50:57Z
497326,amadejkastelic,20,0,0,0,,,,2026-03-06T19:50:58Z
497325,r-ryantm,70,0,0,0,,,,2026-03-06T19:50:59Z
497324,r-ryantm,70,0,0,0,,,,2026-03-06T19:51:00Z
497323,app/nixpkgs-ci,20,0,0,0,,,,2026-03-06T19:51:01Z
497322,r-ryantm,20,0,0,0,,,,2026-03-06T19:51:02Z
497321,supermarin,20,0,0,0,,,,2026-03-06T19:51:03Z
497320,ricardomaps,20,0,0,0,,,,2026-03-06T19:51:04Z
497319,r-ryantm,70,0,0,0,,,,2026-03-06T19:51:05Z
497318,eprovst,20,0,0,0,,,,2026-03-06T19:51:06Z
497317,wegank,70,0,0,0,,,,2026-03-06T19:51:07Z
497316,r-ryantm,20,0,0,0,,,,2026-03-06T19:51:08Z
497315,app/nixpkgs-ci,70,0,0,0,,,,2026-03-06T19:51:09Z
497314,wegank,20,0,0,0,,,,2026-03-06T19:51:10Z
497313,r-ryantm,20,0,0,0,,,,2026-03-06T19:51:11Z
497312,wegank,20,0,0,0,,,,2026-03-06T19:52:00Z
497311,kachick,20,0,0,0,,,,2026-03-06T19:52:01Z
497310,robertjakub,20,0,0,0,,,,2026-03-06T19:52:03Z
497309,r-ryantm,70,0,0,0,,,,2026-03-06T19:52:03Z
497308,K900,70,0,0,0,,,,2026-03-06T19:52:05Z
497307,domenkozar,70,0,0,0,,,,2026-03-06T19:52:05Z
497306,thunze,70,0,0,0,,,,2026-03-06T19:52:06Z
497305,r-ryantm,20,0,0,0,,,,2026-03-06T19:52:07Z
497304,app/nixpkgs-ci,20,0,0,0,,,,2026-03-06T19:52:08Z
497303,fabaff,70,0,0,0,,,,2026-03-06T19:52:08Z
497302,fabaff,20,0,0,0,,,,2026-03-06T19:52:09Z
497301,fabaff,70,0,0,0,,,,2026-03-06T19:52:11Z
497300,fabaff,70,0,0,0,,,,2026-03-06T19:52:12Z
497299,r-ryantm,20,0,0,0,,,,2026-03-06T19:52:13Z
497298,Hythera,70,0,0,0,,,,2026-03-06T19:52:14Z
497297,fabaff,20,0,0,0,,,,2026-03-06T19:52:14Z
497296,fabaff,20,0,0,0,,,,2026-03-06T19:52:15Z
497295,fabaff,70,0,0,0,,,,2026-03-06T19:52:16Z
497294,fabaff,70,0,0,0,,,,2026-03-06T19:52:17Z
497293,fabaff,20,0,0,0,,,,2026-03-06T19:52:17Z
497292,fabaff,20,0,0,0,,,,2026-03-06T19:52:18Z
497290,fabaff,20,0,0,0,,,,2026-03-06T19:52:19Z
497285,app/nixpkgs-ci,20,0,0,0,,,,2026-03-06T19:52:19Z
497284,fabaff,70,0,0,0,,,,2026-03-06T19:52:20Z
497283,r-ryantm,70,0,0,0,,,,2026-03-06T19:52:21Z
497282,r-ryantm,20,0,0,0,,,,2026-03-06T19:52:22Z
497281,r-ryantm,20,0,0,0,,,,2026-03-06T19:52:23Z
497280,philipmw,70,0,0,0,,,,2026-03-06T19:52:23Z
497278,kpbaks,20,0,0,0,,,,2026-03-06T19:52:24Z
497276,r-ryantm,20,0,0,0,,,,2026-03-06T19:52:25Z
497275,kpbaks,20,0,0,0,,,,2026-03-06T19:52:26Z
497274,iamkaran,70,0,0,0,,,,2026-03-06T19:52:26Z
497273,kpbaks,20,0,0,0,,,,2026-03-06T19:52:27Z
497272,r-ryantm,20,0,0,0,,,,2026-03-06T19:52:28Z
497271,r-ryantm,70,0,0,0,,,,2026-03-06T19:52:29Z
497270,theobori,20,0,0,0,,,,2026-03-06T19:52:29Z
497269,r-ryantm,20,0,0,0,,,,2026-03-06T19:52:30Z
497268,paperdigits,70,0,0,0,,,,2026-03-06T19:52:31Z
497267,r-ryantm,70,0,0,0,,,,2026-03-06T19:52:32Z
497266,r-ryantm,70,0,0,0,,,,2026-03-06T19:52:33Z
497265,guylamar2006,70,0,0,0,,,,2026-03-06T19:52:34Z
497264,SuperSandro2000,70,0,0,0,,,,2026-03-06T19:52:35Z
497263,r-ryantm,70,0,0,0,,,,2026-03-06T19:52:36Z
497262,marcin-serwin,20,0,0,0,,,,2026-03-06T19:52:37Z
497261,r-ryantm,20,0,0,0,,,,2026-03-06T19:52:38Z
497260,Cameo007,70,0,0,0,,,,2026-03-06T19:52:39Z
497259,SuperSandro2000,70,0,0,0,,,,2026-03-06T19:52:40Z
497257,sophronesis,70,0,0,0,,,,2026-03-06T19:52:42Z
497256,r-ryantm,70,0,0,0,,,,2026-03-06T19:52:43Z
497255,r-ryantm,70,0,0,0,,,,2026-03-06T19:52:44Z
497254,OPNA2608,0,0,0,0,,,,2026-03-06T19:52:45Z
497253,wegank,20,0,0,0,,,,2026-03-06T19:52:46Z
497252,fk29g,70,0,0,0,,,,2026-03-06T19:52:46Z
497251,r-ryantm,70,0,0,0,,,,2026-03-06T19:52:47Z
497250,r-ryantm,20,0,0,0,,,,2026-03-06T19:52:48Z
497249,fabaff,20,0,0,0,,,,2026-03-06T19:52:49Z
497248,TheWolfStreet,20,0,0,0,,,,2026-03-06T19:52:50Z
497247,r-ryantm,70,0,0,0,,,,2026-03-06T19:52:51Z
497246,app/nixpkgs-ci,20,0,0,0,,,,2026-03-06T19:52:52Z
497245,r-ryantm,20,0,0,0,,,,2026-03-06T19:52:53Z
497244,r-ryantm,20,0,0,0,,,,2026-03-06T19:52:53Z
497243,markus1189,70,0,0,0,,,,2026-03-06T19:52:55Z
497242,bentenjamin,20,0,0,0,,,,2026-03-06T19:52:56Z
497241,sd-st,20,0,0,0,,,,2026-03-06T19:52:57Z
497240,r-ryantm,70,0,0,0,,,,2026-03-06T19:52:58Z
497239,r-ryantm,70,0,0,0,,,,2026-03-06T19:52:59Z
497238,DSeeLP,20,0,0,0,,,,2026-03-06T19:53:00Z
497237,erictapen,20,0,0,0,,,,2026-03-06T19:53:01Z
497236,robertjakub,20,0,0,0,,,,2026-03-06T19:53:03Z
497235,schembriaiden,70,0,0,0,,,,2026-03-06T19:53:03Z
497234,wrbbz,70,0,0,0,,,,2026-03-06T19:53:04Z
497233,secufoe,70,0,0,0,,,,2026-03-06T19:53:05Z
497232,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:06Z
497231,r-ryantm,70,0,0,0,,,,2026-03-06T19:53:07Z
497230,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:08Z
497229,drupol,20,0,0,0,,,,2026-03-06T19:53:09Z
497228,fabaff,20,0,0,0,,,,2026-03-06T19:53:10Z
497227,drupol,20,0,0,0,,,,2026-03-06T19:53:11Z
497226,fabaff,20,0,0,0,,,,2026-03-06T19:53:12Z
497225,app/nixpkgs-ci,20,0,0,0,,,,2026-03-06T19:53:13Z
497224,app/nixpkgs-ci,20,0,0,0,,,,2026-03-06T19:53:14Z
497223,app/nixpkgs-ci,20,0,0,0,,,,2026-03-06T19:53:15Z
497222,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:16Z
497221,flokli,20,0,0,0,,,,2026-03-06T19:53:17Z
497219,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:18Z
497218,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:18Z
497217,onatustun,70,0,0,0,,,,2026-03-06T19:53:19Z
497216,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:20Z
497215,kenshineto,70,0,0,0,,,,2026-03-06T19:53:21Z
497214,app/nixpkgs-ci,20,0,0,0,,,,2026-03-06T19:53:21Z
497213,app/nixpkgs-ci,70,0,0,0,,,,2026-03-06T19:53:22Z
497212,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:23Z
497211,r-ryantm,70,0,0,0,,,,2026-03-06T19:53:24Z
497210,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:25Z
497209,fabaff,70,0,0,0,,,,2026-03-06T19:53:26Z
497208,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:26Z
497207,DayVil,20,0,0,0,,,,2026-03-06T19:53:27Z
497206,ccicnce113424,20,0,0,0,,,,2026-03-06T19:53:28Z
497205,r-ryantm,70,0,0,0,,,,2026-03-06T19:53:28Z
497204,r-ryantm,70,0,0,0,,,,2026-03-06T19:53:29Z
497203,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:30Z
497202,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:31Z
497201,twoneis,20,0,0,0,,,,2026-03-06T19:53:32Z
497200,fabaff,20,0,0,0,,,,2026-03-06T19:53:33Z
497199,Gskartwii,20,0,0,0,,,,2026-03-06T19:53:34Z
497198,r-ryantm,20,0,0,0,,,,2026-03-06T19:53:35Z
497197,app/nixpkgs-ci,70,0,0,0,,,,2026-03-06T19:53:36Z
